x,y,cluster
41.85276,120.22843,4
15.256579,45.535156,0
34.682076,63.79836,0
-77.66184,71.710884,3
31.627977,46.34979,0
15.8622055,68.5639,0
14.666801,112.28608,4
13.923233,91.02223,4
30.560186,90.63226,2
16.450014,129.0945,4
35.343266,121.40038,4
15.256579,45.535156,0
34.682076,63.79836,0
-77.66184,71.710884,3
38.100098,44.429607,0
15.8622055,68.5639,0
14.666801,112.28608,4
13.923233,91.02223,4
30.560186,90.63226,2
16.450014,129.0945,4
37.57327,115.00682,4
15.256579,45.535156,0
34.682076,63.79836,0
-79.72092,78.236786,3
38.100098,44.429607,0
16.726364,61.925236,0
14.666801,112.28608,4
13.923233,91.02223,4
30.560186,90.63226,2
16.450014,129.0945,4
37.57327,115.00682,4
15.256579,45.535156,0
34.682076,63.79836,0
-79.72092,78.236786,3
38.100098,44.429607,0
15.8622055,68.5639,0
14.666801,112.28608,4
13.923233,91.02223,4
30.560186,90.63226,2
16.450014,129.0945,4
75.0755,-144.5577,2
-149.09453,-41.834026,3
110.716736,-144.17252,2
113.005135,-162.53708,2
113.005135,-162.53708,2
128.08012,-147.91957,2
98.732895,-155.23703,2
118.95945,-120.20038,2
85.81725,-173.76724,2
94.19536,-131.30186,2
75.27158,-53.37696,2
75.0755,-144.5577,2
-149.09453,-41.834026,3
110.716736,-144.17252,2
113.005135,-162.53708,2
113.005135,-162.53708,2
128.08012,-147.91957,2
98.732895,-155.23703,2
118.95945,-120.20038,2
85.81725,-173.76724,2
94.19536,-131.30186,2
77.40032,-47.0341,2
75.0755,-144.5577,2
-149.09453,-41.834026,3
110.716736,-144.17252,2
113.005135,-162.53708,2
113.005135,-162.53708,2
128.08012,-147.91957,2
98.732895,-155.23703,2
118.95945,-120.20038,2
85.81725,-173.76724,2
94.19536,-131.30186,2
75.27158,-53.37696,2
75.0755,-144.5577,2
-149.09453,-41.834026,3
110.716736,-144.17252,2
113.005135,-162.53708,2
113.005135,-162.53708,2
128.08012,-147.91957,2
98.732895,-155.23703,2
118.95945,-120.20038,2
85.81725,-173.76724,2
94.19536,-131.30186,2
75.27158,-53.37696,2
6.896174,-74.29393,2
32.48387,-9.917059,2
37.239063,-59.394333,2
34.274113,-75.02873,2
12.473962,-60.17777,2
22.56193,-78.06271,2
26.265709,-92.31756,2
25.486988,-67.28069,2
27.637835,-55.417515,2
38.40305,-96.3166,2
6.896174,-74.29393,2
32.48387,-9.917059,2
37.239063,-59.394333,2
34.274113,-75.02873,2
12.473962,-60.17777,2
22.56193,-78.06271,2
26.265709,-92.31756,2
25.486988,-67.28069,2
27.637835,-55.417515,2
38.40305,-96.3166,2
53.36315,-124.08162,2
5.629116,-102.151,2
-41.866592,-47.59708,3
3.4992454,-127.741325,2
-18.065742,-114.58922,2
25.664385,-116.472496,2
53.36315,-124.08162,2
5.629116,-102.151,2
-41.866592,-47.59708,3
3.4992454,-127.741325,2
-18.065742,-114.58922,2
25.664385,-116.472496,2
53.36315,-124.08162,2
5.629116,-102.151,2
-41.866592,-47.59708,3
-3.2528412,-132.15825,2
-18.065742,-114.58922,2
25.664385,-116.472496,2
53.36315,-124.08162,2
5.629116,-102.151,2
-41.866592,-47.59708,3
3.4992454,-127.741325,2
-18.065742,-114.58922,2
25.664385,-116.472496,2
53.36315,-124.08162,2
5.629116,-102.151,2
-41.866592,-47.59708,3
3.4992454,-127.741325,2
-18.065742,-114.58922,2
25.664385,-116.472496,2
53.36315,-124.08162,2
5.629116,-102.151,2
-41.866592,-47.59708,3
3.4992454,-127.741325,2
-18.065742,-114.58922,2
25.664385,-116.472496,2
207.07387,9.4856825,4
146.42813,34.61522,0
207.07387,9.4856825,4
55.41763,-41.495907,2
185.53804,43.6722,0
207.07387,9.4856825,4
146.42813,34.61522,0
207.07387,9.4856825,4
47.799603,-40.56827,2
185.53804,43.6722,0
207.07387,9.4856825,4
146.42813,34.61522,0
207.07387,9.4856825,4
59.729046,-34.307487,2
185.53804,43.6722,0
207.07387,9.4856825,4
154.78096,39.140587,0
207.07387,9.4856825,4
43.979385,-33.11357,2
185.53804,43.6722,0
207.07387,9.4856825,4
146.42813,34.61522,0
207.07387,9.4856825,4
56.358097,-26.562128,2
185.53804,43.6722,0
207.07387,9.4856825,4
154.78096,39.140587,0
207.07387,9.4856825,4
51.64355,-33.677357,2
185.53804,43.6722,0
207.07387,9.4856825,4
154.78096,39.140587,0
207.07387,9.4856825,4
48.61691,-26.306957,2
185.53804,43.6722,0
207.07387,9.4856825,4
146.42813,34.61522,0
207.07387,9.4856825,4
59.729046,-34.307487,2
182.8853,34.484417,0
207.07387,9.4856825,4
146.42813,34.61522,0
207.07387,9.4856825,4
51.64355,-33.677357,2
185.53804,43.6722,0
-148.68889,-70.309586,3
36.16452,-154.62814,2
45.32414,-182.03804,2
24.467108,-196.79103,2
6.541301,-176.80794,2
-148.68889,-70.309586,3
36.16452,-154.62814,2
49.313625,-190.33998,2
24.467108,-196.79103,2
5.089748,-168.73381,2
-149.92221,-80.00601,3
36.16452,-154.62814,2
49.313625,-190.33998,2
24.467108,-196.79103,2
5.089748,-168.73381,2
-142.4358,-76.60943,3
36.16452,-154.62814,2
49.313625,-190.33998,2
24.467108,-196.79103,2
7.6999674,-161.65912,2
-148.68889,-70.309586,3
36.16452,-154.62814,2
45.32414,-182.03804,2
24.467108,-196.79103,2
13.737394,-172.47183,2
-155.84781,-75.216125,3
36.16452,-154.62814,2
45.32414,-182.03804,2
24.467108,-196.79103,2
14.087588,-164.97623,2
-142.4358,-76.60943,3
36.16452,-154.62814,2
45.32414,-182.03804,2
24.467108,-196.79103,2
13.737394,-172.47183,2
-148.68889,-70.309586,3
36.16452,-154.62814,2
49.313625,-190.33998,2
24.467108,-196.79103,2
6.541301,-176.80794,2
-8.90733,23.45562,2
-17.834633,4.4635587,3
-31.48089,-16.703468,3
-1.8015016,-15.348418,3
-6.1919923,-38.50493,3
-9.131183,33.170723,2
-26.937225,4.063413,3
-31.48089,-16.703468,3
3.3291185,-7.9394956,3
-6.1919923,-38.50493,3
-2.34614,29.932356,2
-17.834633,4.4635587,3
-31.48089,-16.703468,3
3.3291185,-7.9394956,3
-12.469459,-32.36336,3
-0.93276113,21.696241,2
-26.937225,4.063413,3
-31.48089,-16.703468,3
3.3291185,-7.9394956,3
-12.469459,-32.36336,3
-2.34614,29.932356,2
-26.937225,4.063413,3
-31.48089,-16.703468,3
3.3291185,-7.9394956,3
-12.469459,-32.36336,3
-8.90733,23.45562,2
-17.834633,4.4635587,3
-31.48089,-16.703468,3
-1.8015016,-15.348418,3
-12.469459,-32.36336,3
-0.93276113,21.696241,2
-17.834633,4.4635587,3
-31.48089,-16.703468,3
3.3291185,-7.9394956,3
-19.38757,-37.478798,3
-14.537999,28.408442,2
-21.221727,-3.4944706,3
-31.48089,-16.703468,3
3.3291185,-7.9394956,3
-13.493267,-42.07468,3
-40.96544,-111.79975,2
-25.729311,-90.80401,2
-65.872215,-99.04228,3
-46.432434,-95.61827,3
-16.562874,-65.617,2
-39.94659,-72.826195,3
-40.96544,-111.79975,2
-25.729311,-90.80401,2
-65.872215,-99.04228,3
-46.432434,-95.61827,3
-13.247387,-72.26808,2
-39.94659,-72.826195,3
-40.96544,-111.79975,2
-25.729311,-90.80401,2
-65.872215,-99.04228,3
-46.432434,-95.61827,3
-13.247387,-72.26808,2
-39.94659,-72.826195,3
-40.96544,-111.79975,2
-25.729311,-90.80401,2
-65.872215,-99.04228,3
-46.432434,-95.61827,3
-16.562874,-65.617,2
-39.94659,-72.826195,3
-40.96544,-111.79975,2
-25.729311,-90.80401,2
-65.872215,-99.04228,3
-46.432434,-95.61827,3
-13.247387,-72.26808,2
-39.94659,-72.826195,3
-120.643684,-99.06898,3
-32.314705,-171.9755,2
-47.185387,-166.7529,3
-47.590324,-187.45047,3
-24.08403,-185.90923,2
-25.184822,-160.99149,2
-120.643684,-99.06898,3
-32.314705,-171.9755,2
-47.185387,-166.7529,3
-47.590324,-187.45047,3
-24.08403,-185.90923,2
-25.184822,-160.99149,2
-120.643684,-99.06898,3
-32.314705,-171.9755,2
